模拟流量	实测流量	降雨	坡面流	基流	蒸发
34.25870291083816	0.96	4.38	22.87135988765253	11.387343023185629	0.0
24.076597588348342	1.44	4.38	0.0	11.275549662481447	0.0
11.226987768142399	1.92	4.38	0.0	11.165935253253169	0.0
11.118310693438058	2.39	4.38	0.0	11.058436605188843	0.0
11.01172245840909	2.87	4.38	0.0	10.952992950826529	0.0
10.907163317972298	3.35	0.63	0.0	10.849545830428138	0.0
10.804575786647675	9.34	0.63	0.0	10.748038983360978	0.0
81.00210697401388	15.06	0.63	160.0610091539723	9.26523736209347	0.0
98.38382149034946	20.78	0.63	0.0	9.194272377597995	0.0
9.16195427274867	26.5	0.63	0.0	9.121323617697833	0.0
9.089515308121841	45.45	0.63	0.0	9.049525572951485	0.0
9.018215075051666	64.4	0.25	0.0	8.978851193859725	0.0
8.948026897069882	64.4	0.25	0.0	8.909274272932674	0.0
8.878924925303863	61.37	0.25	0.0	8.84076941215502	0.0
8.810884106605446	58.33	0.25	0.0	8.77331199194913	0.0
8.743880153142257	55.3	0.0	0.0	8.706878141556203	0.0
8.677889513373838	52.26	0.0	0.0	8.64144471076038	0.0
8.612889344339505	49.23	0.0	0.0	8.576989242885348	0.0
8.548857485189234	46.19	0.0	0.0	8.51348994899695	0.0
8.485772431893	43.15	0.0	0.0	8.450925683249576	0.0
8.423613313067763	40.11	0.0	0.0	8.389275919317361	0.0
8.362359866864853	37.08	0.0	0.0	8.328520727855098	0.0
8.30199241886391	34.04	0.0	0.0	8.268640754936573	0.0
8.242491860922502	31.0	0.0	0.0	8.209617201421272	0.0
8.183839630933598	29.21	0.0	0.0	8.15143180320309	0.0
8.126017693445679	27.43	0.0	0.0	8.094066812297427	0.0
8.069008521102965	25.64	0.0	0.0	8.03750497872533	0.0
8.012795076865437	23.86	0.0	0.0	7.9817295331558	0.0
7.957360796970731	22.07	0.0	0.0	7.926724170269488	0.0
7.902689574602016	20.29	0.0	0.0	7.872473032808977	0.0
7.848765744227924	18.5	0.0	0.0	7.81896069628287	0.0
7.795574066582505	17.63	0.0	0.0	7.766172154292557	0.0
7.743099714254847	16.77	0.0	0.0	7.71409280445231	0.0
7.691328257859702	15.9	0.0	0.0	7.662708434874867	0.0
7.6402456527619265	15.03	0.0	0.0	7.61200521119618	0.0
7.589838226329052	14.17	0.0	0.0	7.56196966411439	0.0
7.540092665687608	13.3	0.0	0.0	7.512588677419407	0.0
7.490996005960103	12.43	0.0	0.0	7.46384947649065	0.0
7.442535618960808	11.57	0.0	0.0	7.415739617241796	0.0
7.3946992023295675	10.7	0.0	0.0	7.3682469754922915	0.0
7.347474769083962	10.31	0.0	0.0	7.321359736746623	0.0
7.30085063757116	9.92	0.0	0.0	7.275066386363154	0.0
7.25481542180168	9.53	0.0	0.0	7.229355700095221	0.0
7.209358022148265	9.14	0.0	0.0	7.184216734988371	0.0
7.164467616393885	8.75	0.0	0.0	7.139638820617905	0.0
7.1201336511136155	8.36	0.0	0.0	7.095611550652225	0.0
7.076345833375999	7.97	0.0	0.0	7.052124774727702	0.0
.483277989545378	11.57	0.0	0.0	12.470210335210727	0.0
12.463878176438318	10.7	0.0	0.0	12.449982539265982	0.0
12.443317493403457	10.31	0.0	0.0	12.428691350507899	0.0
12.421733109167333	9.92	0.0	0.0	12.406463562003202	0.0
12.399247589519845	9.53	0.0	0.0	12.383412462973245	0.0
12.375970445046644	9.14	0.0	0.0	12.359639271957825	0.0
12.351999517232892	8.75	0.0	0.0	12.335234419647872	0.0
12.327422218954418	8.36	0.0	0.0	12.310278696459893	0.0
12.302316644015455	7.97	0.0	0.0	12.284844278603982	0.0
29550436626	8.75	0.0	0.07476721943035011	10.135248250045453	0.0
10.213984445784849	8.36	0.0	0.0683875341674566	10.146211557561207	0.0
10.217908491578438	7.97	0.0	0.06222392283437142	10.156197070970267	0.0
