地形指数	分面积
3.5	4234.418458
4	46357354.67
4.5	39699790.25
5	60618876.04
5.5	55589445.51
6	37931920.55
6.5	30282443.6
7	15423869.23
7.5	9434284.324
8	6393971.871
8.5	4716083.557
9	3451051.043
9.5	2765075.253
10	1735052.963
10.5	1411119.951
11	1277735.77
11.5	977092.0592
12	729378.5794
12.5	694444.6271
13	606580.4441
13.5	389566.4981
14	371570.2197
14.5	313346.9659
15	204310.6906
15.5	316522.7797
16	0
16.5	304878.129
